term,term_id,df
therefor,517,11
attached,518,56
appendix,519,138
iii,520,313
cost,521,276
benefit,522,88
costbenefit,523,3
analysis,524,348
specific,525,401
data,526,498
response,527,255
costs,528,233
benefits,529,132
today,530,28
commenters,531,70
save,532,4
expense,533,45
obtaining,534,49
iv,535,228
publication,536,175
procedure,537,176
effectiveness,538,141
30,539,329
substantive,540,42
grants,541,100
recognizes,542,53
relieves,543,3
restriction,544,38
553(d)(1,545,3
statutory,546,112
bases,547,21
proposed,548,692
6,549,562
10,550,430
19(a,551,1
1933,552,9
3(b,553,1
4a,554,3
12,555,262
23,556,101
1934,557,33
text,558,99
foregoing,559,45
title,560,173
239_forms,561,1
77f,562,1
77g,563,2
77h,564,1
77j,565,2
77s,566,2
77sss,567,2
78c,568,2
78,569,13
78m,570,2
78n,571,5
78w(a,572,1
ll,573,2
79e,574,1
79f,575,1
79g,576,1
79j,577,1
79,578,23
79m,579,1
79n,580,1
79q,581,2
79t,582,2
80a8,583,1
80a29,584,1
80a30,585,1
80a37,586,1
noted,587,194
instruction,588,25
paragraph,589,350
a)(2,590,17
registration,591,59
debt,592,34
preferred,593,49
sale,594,94
nationally,595,15
statistical,596,49
organization,597,109
term,598,243
relation,599,25
15c3,600,1
1(c)(2)(vi)(f,601,1
240.15c3,602,1
national,603,411
statement,604,265
45,605,103
administrators,606,11
rated,607,10
security,608,131
generic,609,24
categories,610,94
signifies,611,1
typically,612,64
highest,613,49
subcategories,614,6
gradations,615,2
indicating,616,50
relative,617,71
standing,618,16
signify,619,1
general,620,511
note,621,139
instructions,622,82
eligibility,623,72
margaret,624,32
mcfarland,625,26
8010,626,31
01,627,272
energy,628,152
18,629,170
161,630,9
250,631,39
docket,632,255
rm87,633,1
012,634,1
cp87,635,1
238,636,9
003,637,9
497,638,16
inquiry,639,19
alleged,640,34
anticompetitive,641,7
practices,642,210
related,643,370
affiliates,644,27
interstate,645,43
pipelines,646,23
ozark,647,8
gas,648,114
transmission,649,75
rehearing,650,14
extending,651,33
sunset,652,7
01-23-1993,653,30
requests,654,190
remand,655,26
decision,656,164
appeals,657,42
d.c,658,73
circuit,659,46
upheld,660,13
relationship,661,100
natural,662,115
brokering,663,4
things,664,38
narrowed,665,6
scope,666,151
contemporaneous,667,11
requirement,668,269
respect,669,191
sales,670,115
extended,671,59
rule's,672,6
deletes,673,3
remaining,674,86
extends,675,19
david,676,50
faerberg,677,1
counsel,678,86
825,679,24
north,680,126
capitol,681,35
ne,682,46
20426,683,35
208,684,21
1275,685,2
full,686,193
document,687,237
interested,688,264
inspect,689,11
copy,690,180
contents,691,52
normal,692,98
3104,693,6
941,694,19
issuance,695,91
posting,696,25
cips,697,1
electronic,698,58
bulletin,699,33
board,700,124
access,701,141
texts,702,2
formal,703,44
documents,704,127
charge,705,60
user,706,42
accessed,707,3
personal,708,94
computer,709,66
modem,710,6
dialing,711,3
1397,712,3
communications,713,88
software,714,40
300,715,56
1200,716,27
2400,717,13
bps,718,3
duplex,719,2
parity,720,6
bits,721,2
stop,722,31
bit,723,3
9600,724,2
1781,725,2
diskette,726,7
wordperfect,727,2
format,728,65
purchased,729,58
contractor,730,51
la,731,14
dorn,732,2
systems,733,244
located,734,130
introduction,735,52
december,736,99
1992,737,206
opinion,738,53
columbia,739,31
tenneco,740,10
adequately,741,79
justify,742,38
extension,743,80
161.3(f,744,3
consolidated,745,24
case,746,257
evidence,747,192
record,748,219
erred,749,7
finding,750,78
applicable,751,225
joint,752,53
venture,753,8
remanded,754,22
proceeding,755,114
court's,756,29
revised,757,240
narrow,758,17
497's,759,4
01-31-1992,760,4
31,761,98
90,762,97
individual,763,243
pipeline,764,37
636,765,17
affiliated,766,28
transportation,767,141
log,768,13
ferc,769,40
592,770,11
maintain,771,167
ebb,772,7
57,773,75
58978,774,1
01-14-1992,775,8
stats,776,4
regs,777,3
¶,778,11
30958,779,1
969,780,3
f.2d,781,34
1187,782,2
cir,783,31
53,784,37
22139,785,1
01-14-1988,786,4
preambles,787,4
1986,788,136
30820,789,1
1988,790,112
54,791,57
52781,792,1
01-22-1989,793,2
30868,794,1
1989,795,112
53291,796,1
01-28-1990,797,4
30908,798,1
30934,799,1
1991,800,141
reh'g,801,2
denied,802,35
5815,803,1
61139,804,1
aff'd,805,5
49,806,65
61247,807,1
obligations,808,59
revisions,809,60
implementing,810,86
selfimplementing,811,4
partial,812,24
wellhead,813,5
decontrol,814,1
13267,815,1
01-16-1992,816,18
30939,817,1
april,818,91
36128,819,1
01-12-1992,820,3
30950,821,2
august,822,160
57911,823,1
61,824,37
61272,825,1
62,826,21
61007,827,1
affirms,828,1
eliminate,829,88
filing,830,135
rejects,831,9
hadson,832,5
inc.'s,833,2
argument,834,20
161.3(j,835,3
284.286(e,836,3
prohibit,837,51
public,838,723
participation,839,104
requires,840,287
future,841,154
standards,842,334
conduct,843,153
waiver,844,63
notices,845,72
suitable,846,44
clarifies,847,8
type,848,240
employee,849,182
operating,850,151
01-30-1994,851,54
concurrently,852,20
notice,853,654
rulemaking,854,213
nopr,855,5
rm94,856,4
000,857,33
proposes,858,102
revise,859,54
expected,860,225
remain,861,89
unchanged,862,18
estimated,863,200
average,864,201
9.94,865,1
reviewing,866,42
searching,867,8
existing,868,307
sources,869,230
gathering,870,16
maintaining,871,58
needed,872,185
7882,873,1
793,874,2
responses,875,73
respondents,876,46
significantly,877,108
evaluate,878,120
prepare,879,91
affiliate,880,17
transactions,881,61
send,882,52
estimates,883,113
aspect,884,37
suggestions,885,52
reductions,886,54
attention,887,66
michael,888,43
miller,889,7
services,890,302
1415,891,5
fax,892,40
2425,893,1
affairs,894,74
20503,895,34
desk,896,24
officer,897,141
395,898,34
6880,899,2
hard,900,27
and/or,901,237
formats,902,8
obtained,903,179
contacting,904,28
3308,905,2
background,906,118
01-21-1992,907,10
upholding,908,2
o]n,909,2
reconsider,910,3
justification,911,29
applying,912,57
tailored,913,6
meet,914,235
goals,915,28
improving,916,20
benefitting,917,3
consumers,918,72
preventing,919,32
undue,920,19
discrimination,921,19
matter,922,111
a]pplying,923,1
released,924,52
releasedgas,925,1
fundamentally,926,3
unfair,927,24
avoid,928,93
litigation,929,31
issue,930,224
announcing,931,36
retroactively,932,2
apply,933,249
partnership,934,23
composed,935,31
subsidiaries,936,9
percent,937,319
ownership,938,28
voting,939,30
interest,940,203
failed,941,52
ability,942,100
owner,943,75
control,944,454
1201,945,4
id,946,55
1202,947,1
structural,948,27
industry,949,260
occur,950,149
standard,951,414
contemporaneously,952,6
disclose,953,24
disclosed,954,22
pipeline's,955,11
involving,956,110
reads,957,8
extent,958,186
potential,959,321
shippers,960,19
nonaffiliated,961,10
advice,962,28
f)'s,963,3
begin,964,49
applicability,965,60
fact,966,146
unanimous,967,3
partners,968,20
parent,969,32
companies,970,86
shipping,971,20
ozark's,972,5
line,973,119
exercise,974,53
161.2,975,3
company,976,200
tennessee,977,25
direct,978,163
partner,979,15
veto,980,3
power,981,100
simply,982,36
withholding,983,10
vote,984,19
exercised,985,13
manner,986,157
prefer,987,10
refusing,988,3
engage,989,35
independent,990,88
marketer,991,3
competition,992,68
negative,993,143
i.e,994,176
transaction,995,48
affirmative,996,28
approving,997,19
important,998,108
role,999,39
play,1000,9
structure,1001,75
engendered,1002,2
remove,1003,120
636's,1004,1
minimum,1005,151
communicating,1006,18
capacity,1007,103
current,1008,337
offers,1009,27
marketingrelated,1010,1
casespecific,1011,1
practice,1012,198
means,1013,183
mandated,1014,37
consisting,1015,43
conoco,1016,1
anadarko,1017,1
petroleum,1018,13
corp,1019,45
chevron,1020,1
u.s.a,1021,2
texaco,1022,1
fuel,1023,36
supply,1024,74
association,1025,133
america,1026,30
ingaa,1027,1
anr,1028,4
colorado,1029,14
cig,1030,1
williams,1031,13
midcon,1032,1
enron,1033,2
cng,1034,2
northwest,1035,21
discussed,1036,195
discussion,1037,145
assert,1038,17
inconsistent,1039,55
contend,1040,11
limited,1041,305
exclusion,1042,23
offsystem,1043,1
explanation,1044,45
interpreted,1045,23
responsive,1046,20
argue,1047,16
assumption,1048,28
obtain,1049,130
combined,1050,61
directive,1051,25
barring,1052,1
wholly,1053,14
unrelated,1054,19
evidences,1055,3
suggested,1056,109
examined,1057,84
articulated,1058,5
satisfactory,1059,28
rational,1060,5
facts,1061,48
choice,1062,32
arbitrary,1063,10
capricious,1064,4
unsupported,1065,10
unequivocally,1066,2
competitive,1067,43
motion,1068,33
restructuring,1069,10
basis,1070,348
marketers,1071,6
odds,1072,6
possess,1073,17
flows,1074,14
documented,1075,35
eliminated,1076,22
completed,1077,116
transition,1078,21
competitiveness,1079,5
unbundling,1080,2
vestiges,1081,1
sees,1082,4
wide,1083,72
industrywide,1084,6
start,1085,39
heating,1086,44
inexplicable,1087,1
promulgate,1088,25
repromulgate,1089,1
regard,1090,72
intent,1091,90
prevent,1092,141
preferential,1093,4
treatment,1094,97
monopoly,1095,5
function,1096,84
arguably,1097,5
puts,1098,4
position,1099,145
favor,1100,23
imposes,1101,11
unnecessary,1102,62
unreasonable,1103,12
burdens,1104,19
chair,1105,3
moler,1106,1
dissent,1107,1
preclude,1108,30
disclosing,1109,6
giving,1110,22
advantages,1111,25
preferences,1112,6
effectively,1113,66
address,1114,273
imposition,1115,17
serves,1116,24
competitors,1117,4
cites,1118,9
support,1119,274
critical,1120,79
conclusion,1121,70
derives,1122,10
ongoing,1123,57
customers,1124,60
past,1125,106
error,1126,43
exacerbated,1127,6
lack,1128,68
authorized,1129,176
discriminatory,1130,7
appears,1131,69
preferring,1132,1
exclusive,1133,34
sort,1134,4
preference,1135,17
resolve,1136,36
questions,1137,98
existence,1138,54
sense,1139,22
informational,1140,16
efficiencies,1141,8
vertical,1142,13
integration,1143,6
exceeds,1144,49
lawful,1145,13
empowered,1146,8
apparently,1147,17
applies,1148,91
sharing,1149,21
jurisdictional,1150,12
performed,1151,192
plainly,1152,5
extend,1153,45
nonjurisdictional,1154,1
assuming,1155,27
generates,1156,7
publicly,1157,28
mere,1158,8
translate,1159,2
advantage,1160,23
informs,1161,10
automatically,1162,22
deal,1163,35
affording,1164,2
precluded,1165,10
161.3(c,1166,2
matters,1167,83
284,1168,7
scheduling,1169,11
balancing,1170,8
storage,1171,121
curtailment,1172,3
priority,1173,59
limit,1174,238
flow,1175,71
hinders,1176,1
legitimate,1177,13
retain,1178,46
prohibits,1179,26
retaining,1180,15
downstream,1181,11
nonotice,1182,1
allocated,1183,32
hands,1184,14
availability,1185,120
depend,1186,25
large,1187,185
degree,1188,73
firm,1189,67
shipper,1190,11
program,1191,476
interruptible,1192,7
solely,1193,67
price,1194,90
paid,1195,87
objective,1196,78
criteria,1197,220
releasing,1198,16
tariff,1199,55
knew,1200,7
demand,1201,59
location,1202,128
proceeded,1203,1
pass,1204,42
dispelled,1205,1
grant,1206,138
purported,1207,2
reason,1208,103
newly,1209,34
constitutes,1210,30
prohibition,1211,41
interactions,1212,9
places,1213,46
unjustified,1214,4
disadvantage,1215,12
clarify,1216,62
onsystem,1217,2
conveyed,1218,10
personnel,1219,147
unbundled,1220,5
merchant,1221,8
believes,1222,259
clarification,1223,34
reasonable,1224,150
post,1225,72
postorder,1226,2
environment,1227,145
functional,1228,32
equivalent,1229,128
operate,1230,76
exact,1231,29
restraints,1232,7
abide,1233,1
requirement_at,1234,1
affects,1235,21
monopolistic,1236,1
power_reflects,1237,1
effort,1238,75
promote,1239,53
harming,1240,1
11,1241,233
unable,1242,57
conclude,1243,27
justified,1244,17
confident,1245,6
possessed,1246,6
transfer,1247,121
issues,1248,243
raised,1249,75
findings,1250,73
protection,1251,285
standard(e,1252,1
delete,1253,29
impose,1254,56
nontransportation,1255,1
chilling,1256,3
certainty,1257,13
improve,1258,77
limiting,1259,41
reach,1260,48
relieved,1261,6
refrain,1262,9
prohibited,1263,93
covered,1264,175
choose,1265,58
requiring,1266,145
bar,1267,21
examining,1268,25
cases,1269,176
1199,1270,3
161.3(e,1271,1
receives,1272,39
questioned,1273,22
generated,1274,80
assertion,1275,9
noting,1276,11
depended,1277,4
current_not,1278,1
past_information,1279,1
counter,1280,27
intuitive,1281,3
counterintuitive,1282,2
improper,1283,21
anti,1284,18
affect,1285,145
historically,1286,18
maintained,1287,119
extensive,1288,50
markets,1289,34
primary_if,1290,1
exclusive_buyer,1291,1
seller,1292,8
production,1293,126
consumption,1294,64
served,1295,72
dominant,1296,4
sellers,1297,5
decade,1298,8
ago,1299,9
deliver,1300,21
owned,1301,48
shipperowned,1302,1
636mandated,1303,1
process,1304,315
100,1305,188
deliveries,1306,3
weaken,1307,1
knowledge,1308,81
base,1309,89
increasingly,1310,13
contract,1311,87
pricing,1312,13
relies,1313,16
nationwide,1314,15
financial,1315,145
determinations,1316,65
nymex,1317,1
futures,1318,4
spot,1319,7
prices,1320,46
establishes,1321,57
short,1322,118
shortterm,1323,33
duration,1324,84
bidding,1325,10
waived,1326,32
substantially,1327,77
types,1328,149
traditionally,1329,19
entering,1330,36
redelivered,1331,1
reserves,1332,23
circumstances,1333,160
terms,1334,225
identity,1335,41
ultimate,1336,15
consumer,1337,70
theory,1338,12
underlying,1339,35
decisions,1340,101
rightoffirst-refusal,1341,1
programs,1342,249
collects,1343,4
generally,1344,181
relate,1345,47
interference,1346,31
inhibiting,1347,2
segment,1348,26
vigorously,1349,6
competing,1350,27
create,1351,83
unlevel,1352,1
playing,1353,7
tilted,1354,1
units,1355,75
distribution,1356,157
ldcs,1357,1
balanced,1358,15
approach,1359,146
nonpipeline,1360,1
merchants,1361,5
obtains,1362,11
domain,1363,3
bundled,1364,1
activities,1365,343
trigger,1366,15
reasoning,1367,4
outdated,1368,8
mentioned,1369,49
transportationgenerated,1370,1
shared,1371,19
instance,1372,19
19,1373,100
abusing,1374,3
derived,1375,76
violates,1376,3
triggers,1377,3
comply,1378,170
compatible,1379,21
information_pipelines,1380,1
generate,1381,27
communicate,1382,29
violating,1383,5
engineering,1384,81
develop,1385,152
triggered,1386,17
violated,1387,18
protections,1388,9
adequate,1389,167
safeguard,1390,8
abuse,1391,24
compel,1392,6
operations,1393,327
level,1394,281
increase,1395,169
ebbs,1396,5
shippers_marketing,1397,1
transporters,1398,3
alike,1399,3
unbundle,1400,1
establish,1401,209
separate,1402,182
staffs,1403,4
unit,1404,132
treat,1405,35
seq,1406,101
establishing,1407,95
likelihood,1408,19
developed,1409,174
similar,1410,217
n]o,1411,1
record_and,1412,1
none_for,1413,1
ferc's,1414,1
strikes,1415,9
information_a,1416,1
surmise,1417,1
supported,1418,97
customer,1419,43
calls,1420,11
reviews,1421,34
agencies,1422,187
trade,1423,133
publications,1424,24
21,1425,171
represents,1426,54
primary,1427,147
marketplace,1428,15
long,1429,218
longterm,1430,66
contracts,1431,54
industry's,1432,6
operational,1433,38
functions,1434,60
aggregated,1435,9
monthly,1436,50
today's,1437,14
focus,1438,71
adjustable,1439,5
hourly,1440,8
drive,1441,41
style,1442,6
oldstyle,1443,1
sufficient,1444,179
demands,1445,9
receipt,1446,99
pooling,1447,4
sell,1448,34
flexible,1449,34
delivery,1450,66
equal,1451,122
designation,1452,50
conditions,1453,297
negotiations,1454,15
proceedings_not,1455,1
sole,1456,16
discretion,1457,37
decide,1458,22
ultimately,1459,21
tariffs,1460,3
equitably,1461,3
purchase,1462,114
encouraged,1463,54
minimize,1464,74
assigning_on,1465,1
voluntary,1466,55
nondiscriminatory,1467,3
basis_gas,1468,1
allowed,1469,110
recovery,1470,49
designed,1471,149
fairly,1472,19
distribute,1473,11
historic,1474,26
legacy,1475,2
uncompetitive,1476,1
arrangements,1477,39
coupled,1478,16
removal,1479,157
burdensome,1480,24
structures,1481,42
left,1482,31
compete,1483,20
saddled,1484,1
fourth,1485,30
independently,1486,15
maximum,1487,149
practicable,1488,27
identification,1489,125
negotiation,1490,16
times,1491,74
e.g,1492,208
length,1493,94
rate,1494,205
quantity,1495,64
bid,1496,20
evaluation,1497,211
identify,1498,156
directly,1499,163
implementation,1500,192
instant,1501,8
resell,1502,2
replacement,1503,52
recall,1504,4
temperatures,1505,19
drop,1506,15
pre,1507,86
preset,1508,2
releases,1509,25
permanent,1510,39
temporary,1511,41
work,1512,373
world,1513,27
northwest's,1514,3
tenneco's,1515,2
moot,1516,6
notes,1517,87
elimination,1518,19
permitting,1519,43
cease,1520,14
essential,1521,58
complies,1522,26
fully,1523,95
permitted,1524,128
negotiated,1525,23
motivated,1526,3
loss,1527,88
low,1528,190
correlative,1529,1
discount,1530,16
161.3(i,1531,1
discounting,1532,1
forced,1533,17
discounted,1534,11
rates,1535,116
sells,1536,7
suffer,1537,17
pay,1538,81
detriment,1539,7
receive,1540,164
movement,1541,28
monitor,1542,54
detect,1543,26
favoritism,1544,1
difficulty,1545,38
operation,1546,240
find,1547,46
prove,1548,18
reliable,1549,31
accurate,1550,50
source,1551,215
supplied,1552,56
practical,1553,41
recently,1554,56
requested,1555,217
configuration,1556,16
rm93,1557,2
asked,1558,61
fulfill,1559,16
demonstrates,1560,41
unproven,1561,1
waiting,1562,12
answer,1563,13
question,1564,61
erroneously,1565,4
assumed,1566,48
disparity,1567,4
acted,1568,6
eliminating,1569,23
protect,1570,128
reinstate,1571,5
asserts,1572,19
deregulated,1573,1
key,1574,28
contends,1575,18
arrangement,1576,38
oppose,1577,4
nonetheless,1578,14
opportunities,1579,35
transporter,1580,2
pipelinetransporter,1581,1
increases,1582,48
diminishes,1583,4
scrutiny,1584,5
argues,1585,18
deregulating,1586,2
pipelinemerchant,1587,1
invoked,1588,4
grounds,1589,33
decrease,1590,45
monitoring,1591,162
watchdog,1592,1
materially,1593,38
1001,1594,6
postings,1595,2
obviate,1596,3
item,1597,45
queue,1598,1
submits,1599,26
allocate,1600,12
requesting,1601,89
firstcome,1602,2
firstserved,1603,2
involve,1604,71
calculation,1605,51
offered,1606,57
precise,1607,18
determining,1608,159
offer,1609,60
gained,1610,15
avenue,1611,145
desiring,1612,38
reducing,1613,96
utility,1614,35
takeorpay,1615,1
credits,1616,6
transporting,1617,10
affiliate's,1618,1
percentage,1619,103
transported,1620,13
credit,1621,51
crediting,1622,3
terminated,1623,25
01-31-1990,1624,5
32,1625,58
producing,1626,45
fields,1627,24
originates,1628,7
useless,1629,3
secondary,1630,48
acquiring,1631,23
other's,1632,1
precisely,1633,12
outcome,1634,18
bring,1635,27
mandating,1636,7
advent,1637,2
renders,1638,3
vastly,1639,1
diminished,1640,10
schedule,1641,93
consistent,1642,174
goal,1643,38
needlessly,1644,1
expedited,1645,9
setting,1646,59
swift,1647,1
enable,1648,43
accurately,1649,47
reflect,1650,140
denies,1651,3
hadson's,1652,2
arguments,1653,36
lose,1654,8
sight,1655,3
electronically,1656,14
allowing,1657,70
staff,1658,117
initiate,1659,32
exists,1660,53
unfounded,1661,3
250.16(g)(2,1662,1
24hour,1663,3
b)(2,1664,25
begun,1665,20
update,1666,35
occurred,1667,73
satisfied,1668,29
mandates,1669,21
receiving,1670,77
inaccurate,1671,7
downloading,1672,3
users,1673,37
back,1674,43
backup,1675,14
years,1676,291
purging,1677,2
files,1678,33
display,1679,31
recent,1680,97
entries,1681,26
ahead,1682,15
posted,1683,27
earlier,1684,73
online,1685,4
search,1686,10
menu,1687,2
permits,1688,70
separately,1689,60
records,1690,148
22,1691,129
features,1692,37
592s,1693,2
collecting,1694,27
outweighs,1695,10
284.8(b)(4,1696,1
284.9(b)(4,1697,1
relying,1698,15
valid,1699,45
knowingly,1700,8
willfully,1701,3
falsifies,1702,1
conceals,1703,1
covers,1704,49
trick,1705,1
scheme,1706,26
device,1707,73
makes,1708,57
false,1709,33
fictitious,1710,1
fraudulent,1711,8
statements,1712,123
representations,1713,21
writing,1714,100
knowing,1715,12
fined,1716,2
10000,1717,20
imprisoned,1718,2
implies,1719,10
incorrect,1720,14
statute,1721,51
broad,1722,61
cover,1723,89
deems,1724,12
ignores,1725,4
equally,1726,25
deficient,1727,15
rationale,1728,37
concluding,1729,8
reference,1730,189
individually,1731,25
controls,1732,136
making,1733,192
problems,1734,115
inherent,1735,15
concluded,1736,127
vetoing,1737,2
withhold,1738,8
exist,1739,82
open,1740,136
concerned,1741,52
284.8(b,1742,2
284.9(b,1743,2
transport,1744,46
legal,1745,109
parameters,1746,48
commissionapproved,1747,1
schedules,1748,25
