term,term_id
explan,888
so,889
interpret,890
argu,891
assumpt,892
combin,893
bar,894
wholli,895
unrel,896
neither,897
nor,898
examin,899
articul,900
satisfactori,901
ration,902
choic,903
arbitrari,904
caprici,905
unsupport,906
unequivoc,907
motion,908
restructur,909
basi,910
odd,911
possess,912
flow,913
most,914
alreadi,915
transit,916
unbundl,917
last,918
vestig,919
see,920
wide,921
industrywid,922
start,923
heat,924
inexplic,925
promulg,926
repromulg,927
intent,928
preferenti,929
treatment,930
monopoli,931
function,932
arguabl,933
put,934
posit,935
abl,936
favor,937
consequ,938
new,939
unnecessari,940
unreason,941
chair,942
moler,943
note,944
dissent,945
preclud,946
advantag,947
do,948
address,949
imposit,950
serv,951
competitor,952
cite,953
support,954
critic,955
conclus,956
deriv,957
ongo,958
custom,959
past,960
error,961
exacerb,962
lack,963
discriminatori,964
sort,965
cannot,966
resolv,967
question,968
veri,969
noth,970
more,971
sens,972
rather,973
effici,974
vertic,975
integr,976
exce,977
empow,978
appar,979
share,980
regardless,981
perform,982
plainli,983
nonjurisdict,984
assum,985
publicli,986
mere,987
translat,988
automat,989
deal,990
inde,991
284,992
schedul,993
balanc,994
storag,995
curtail,996
prioriti,997
hinder,998
legitim,999
retain,1000
downstream,1001
except,1002
nonotic,1003
alloc,1004
hand,1005
depend,1006
larg,1007
degre,1008
program,1009
moreov,1010
interrupt,1011
get,1012
sole,1013
price,1014
paid,1015
object,1016
criteria,1017
knew,1018
particular,1019
demand,1020
pass,1021
dispel,1022
purport,1023
behind,1024
newli,1025
constitut,1026
against,1027
interact,1028
unjustifi,1029
disadvantag,1030
onsystem,1031
convey,1032
personnel,1033
merchant,1034
clarif,1035
postord,1036
environ,1037
equival,1038
oper,1039
exact,1040
restraint,1041
abid,1042
where,1043
monopolist,1044
effort,1045
promot,1046
harm,1047
11,1048
conclud,1049
we,1050
confid,1051
transfer,1052
rais,1053
protect,1054
nontransport,1055
chill,1056
certainti,1057
while,1058
reach,1059
refrain,1060
cover,1061
choos,1062
1199,1063
entir,1064
intuit,1065
improp,1066
anti,1067
histor,1068
seller,1069
consumpt,1070
domin,1071
decad,1072
deliv,1073
shipperown,1074
636mandat,1075
nearli,1076
100,1077
deliveri,1078
weaken,1079
knowledg,1080
increasingli,1081
contract,1082
reli,1083
nationwid,1084
financi,1085
nymex,1086
spot,1087
establish,1088
short,1089
shortterm,1090
durat,1091
bid,1092
waiv,1093
tradit,1094
know,1095
redeliv,1096
reserv,1097
circumst,1098
itself,1099
often,1100
ultim,1101
theori,1102
underli,1103
just,1104
throughout,1105
outsid,1106
way,1107
interfer,1108
inhibit,1109
segment,1110
vigor,1111
compet,1112
unlevel,1113
tilt,1114
toward,1115
distribut,1116
approach,1117
unfair,1118
nonpipelin,1119
domain,1120
bundl,1121
activ,1122
trigger,1123
outdat,1124
mention,1125
transportationgener,1126
first,1127
instanc,1128
19,1129
abus,1130
come,1131
violat,1132
compli,1133
engin,1134
develop,1135
safeguard,1136
tariff,1137
themselv,1138
compel,1139
level,1140
increas,1141
alik,1142
separ,1143
staff,1144
treat,1145
et,1146
seq,1147
mani,1148
likelihood,1149
along,1150
whatev,1151
similar,1152
strike,1153
us,1154
counter,1155
counterintuit,1156
seem,1157
surmis,1158
call,1159
agenc,1160
trade,1161
21,1162
repres,1163
primari,1164
marketplac,1165
long,1166
longterm,1167
them,1168
aggreg,1169
focu,1170
adjust,1171
daili,1172
hourli,1173
drive,1174
style,1175
oldstyl,1176
suffici,1177
pool,1178
sell,1179
equal,1180
condit,1181
negoti,1182
discret,1183
decid,1184
equit,1185
anyon,1186
els,1187
third,1188
encourag,1189
minim,1190
voluntari,1191
nondiscriminatori,1192
former,1193
recoveri,1194
fairli,1195
legaci,1196
uncompetit,1197
arrang,1198
coupl,1199
burdensom,1200
left,1201
saddl,1202
fourth,1203
maximum,1204
identif,1205
length,1206
quantiti,1207
identifi,1208
directli,1209
instant,1210
resel,1211
whole,1212
replac,1213
recal,1214
temperatur,1215
drop,1216
pre,1217
preset,1218
perman,1219
temporari,1220
again,1221
work,1222
togeth,1223
world,1224
moot,1225
permit,1226
ceas,1227
fulli,1228
motiv,1229
loss,1230
low,1231
correl,1232
discount,1233
forc,1234
suffer,1235
pay,1236
detriment,1237
movement,1238
unabl,1239
monitor,1240
detect,1241
favorit,1242
difficulti,1243
prove,1244
reliabl,1245
accur,1246
recent,1247
configur,1248
ask,1249
fulfil,1250
demonstr,1251
unproven,1252
though,1253
wait,1254
answer,1255
erron,1256
dispar,1257
reinstat,1258
deregul,1259
key,1260
oppos,1261
nonetheless,1262
pipelinetransport,1263
diminish,1264
scrutini,1265
pipelinemerch,1266
certainli,1267
invok,1268
ground,1269
decreas,1270
watchdog,1271
differ,1272
1001,1273
probabl,1274
obviat,1275
littl,1276
item,1277
queue,1278
firstcom,1279
firstserv,1280
valu,1281
calcul,1282
precis,1283
gain,1284
yet,1285
anoth,1286
avenu,1287
desir,1288
takeorpay,1289
credit,1290
percentag,1291
termin,1292
32,1293
origin,1294
useless,1295
secondari,1296
outcom,1297
tri,1298
bring,1299
advent,1300
render,1301
like,1302
right,1303
vastli,1304
consist,1305
needlessli,1306
expedit,1307
up,1308
swift,1309
enabl,1310
reflect,1311
lose,1312
sight,1313
initi,1314
discrimin,1315
unfound,1316
24hour,1317
onc,1318
begun,1319
updat,1320
satisfi,1321
download,1322
back,1323
backup,1324
three,1325
purg,1326
display,1327
ahead,1328
earlier,1329
onlin,1330
menu,1331
22,1332
featur,1333
outweigh,1334
valid,1335
whoever,1336
knowingli,1337
falsifi,1338
conceal,1339
trick,1340
scheme,1341
devic,1342
fals,1343
fictiti,1344
fraudul,1345
represent,1346
write,1347
fine,1348
10000,1349
imprison,1350
five,1351
impli,1352
inaccur,1353
incorrect,1354
broad,1355
enough,1356
deem,1357
ignor,1358
defici,1359
rational,1360
therebi,1361
problem,1362
inher,1363
far,1364
open,1365
clearli,1366
legal,1367
paramet,1368
commissionapprov,1369
whim,1370
met,1371
held,1372
resolut,1373
presid,1374
designe,1375
cede,1376
bound,1377
obviou,1378
free,1379
relinquish,1380
show,1381
absenc,1382
deleg,1383
fiduciari,1384
here,1385
contrari,1386
43,1387
61443,1388
62108,1389
hope,1390
reciproc,1391
texa,1392
wrong,1393
logic,1394
numer,1395
complaint,1396
enforc,1397
commenc,1398
blanket,1399
revok,1400
common,1401
definit,1402
sought,1403
never,1404
best,1405
merit,1406
seek,1407
clear,1408
rest,1409
conjunct,1410
irrebutt,1411
presumpt,1412
hold,1413
rebutt,1414
indisput,1415
holder,1416
requisit,1417
plural,1418
disagre,1419
indirectli,1420
caus,1421
overlap,1422
incent,1423
26,1424
high,1425
island,1426
offshor,1427
t,1428
trailblaz,1429
sea,1430
robin,1431
northern,1432
border,1433
great,1434
lake,1435
27,1436
collater,1437
attack,1438
31593,1439
61340,1440
march,1441
1987,1442
conveni,1443
necess,1444
jointli,1445
28,1446
opgc,1447
select,1448
ceo,1449
juli,1450
1988,1451
emphas,1452
commit,1453
claim,1454
usx,1455
txo,1456
marathon,1457
oil,1458
delhi,1459
subsum,1460
pipe,1461
whollyown,1462
turn,1463
tenngasco,1464
gulf,1465
caney,1466
river,1467
oneok,1468
nonpubl,1469
build,1470
likewis,1471
histori,1472
success,1473
rebut,1474
link,1475
nga,1476
29,1477
guidelin,1478
deter,1479
52,1480
21578,1481
32445,1482
illeg,1483
nontariff,1484
mg,1485
prefix,1486
achiev,1487
withheld,1488
view,1489
member,1490
look,1491
adversari,1492
nonadversari,1493
offtherecord,1494
protest,1495
interven,1496
attempt,1497
redocket,1498
erstwhil,1499
bear,1500
discoveri,1501
co,1502
al,1503
61260,1504
61833,1505
n,1506
sub,1507
nom,1508
algonquin,1509
61143,1510
taint,1511
incorpor,1512
subpart,1513
j,1514
dichotomi,1515
presum,1516
mt,1517
successor,1518
33,1519
variou,1520
30442,1521
232,1522
phrase,1523
accident,1524
learn,1525
thereon,1526
compil,1527
face,1528
leav,1529
judici,1530
dilig,1531
plan,1532
stealth,1533
misinterpret,1534
34,1535
ampl,1536
91,1537
context,1538
florida,1539
label,1540
36,1541
invit,1542
37,1543
1991,1544
eight,1545
39,1546
igm,1547
previou,1548
40,1549
41,1550
preorder,1551
61261,1552
61836,1553
carnegi,1554
panhandl,1555
eastern,1556
southwest,1557
trunklin,1558
vesta,1559
61455,1560
60,1561
incorrectli,1562
convers,1563
memori,1564
memoranda,1565
42,1566
real,1567
our,1568
contrast,1569
agre,1570
prospect,1571
e,1572
assist,1573
g,1574
facil,1575
organiz,1576
dissemin,1577
evad,1578
undermin,1579
divest,1580
divorc,1581
aim,1582
daytoday,1583
nonmanag,1584
properli,1585
everi,1586
especi,1587
statu,1588
situat,1589
occup,1590
31598,1591
guidanc,1592
duti,1593
carri,1594
out,1595
gasrel,1596
supervisor,1597
technic,1598
dispatch,1599
highli,1600
highlyplac,1601
transportationrel,1602
nonoper,1603
cleric,1604
mainten,1605
payrol,1606
account,1607
gap,1608
let,1609
laps,1610
legisl,1611
ngpa,1612
viabl,1613
notifi,1614
180day,1615
contact,1616
vi,1617
46,1618
good,1619
shorten,1620
expir,1621
loi,1622
cashel,1623
717w,1624
3432,1625
7352,1626
june,1627
pend,1628
six,1629
month,1630
thereaft,1631
commerc,1632
patent,1633
trademark,1634
aa61,1635
fee,1636
summari,1637
pto,1638
245,1639
kopson,1640
8510,1641
mail,1642
mark,1643
attent,1644
commission,1645
179,1646
fund,1647
1946,1648
class,1649
took,1650
recov,1651
518692000,1652
fiscal,1653
4830000,1654
attribut,1655
enact,1656
504021000,1657
14671000,1658
deposit,1659
surcharg,1660
omnibu,1661
reconcili,1662
204,1663
incom,1664
103000000,1665
deficit,1666
lieu,1667
taxpay,1668
treasuri,1669
special,1670
congress,1671
88329000,1672
grace,1673
supplement,1674
insuffici,1675
paper,1676
return,1677
payment,1678
subparagraph,1679
12612,1680
paperwork,1681
1980,1682
3501,1683
implic,1684
outlin,1685
restat,1686
congression,1687
congressionallymand,1688
601,1689
excess,1690
index,1691
lawyer,1692
1123,1693
bruce,1694
lehman,1695
1021,1696
ocean,1697
atmospher,1698
50,1699
3020,1700
summer,1701
flounder,1702
fisheri,1703
marin,1704
notif,1705
quota,1706
nmf,1707
pound,1708
carolina,1709
rhode,1710
3121750,1711
1946851,1712
vessel,1713
resum,1714
land,1715
hannah,1716
goodal,1717
analyst,1718
apport,1719
coastal,1720
main,1721
calendar,1722
million,1723
fmp,1724
1936851,1725
3389565,1726
emerg,1727
mutual,1728
northeast,1729
region,1730
coastwid,1731
5658,1732
3435214,1733
45649,1734
257815,1735
3131750,1736
virginia,1737
125000,1738
59196,1739
jersey,1740
7815,1741
61844,1742
advis,1743
dealer,1744
portion,1745
closur,1746
rescind,1747
classif,1748
1801,1749
crestin,1750
conserv,1751
32091,1752
93,1753
642,1754
3191,1755
migratori,1756
pelag,1757
resourc,1758
mexico,1759
south,1760
atlant,1761
trip,1762
west,1763
coast,1764
zone,1765
king,1766
mackerel,1767
overfish,1768
fish,1769
50fish,1770
close,1771
godcharl,1772
spanish,1773
cero,1774
cobia,1775
tunni,1776
dolphin,1777
council,1778
magnuson,1779
catch,1780
58509,1781
865000,1782
75,1783
harvest,1784
eez,1785
aboard,1786
exceed,1787
boundari,1788
ˆ,1789
06,1790
w,1791
counti,1792
48,1793
april,1794
32097,1795
663,1796
3344,1797
pacif,1798
groundfish,1799
suspens,1800
licens,1801
limitedentri,1802
endors,1803
delay,1804
suspend,1805
varianc,1806
robinson,1807
codifi,1808
overal,1809
qualifi,1810
gear,1811
trawl,1812
feet,1813
shorter,1814
smaller,1815
larger,1816
profession,1817
architect,1818
consult,1819
measur,1820
soon,1821
anticip,1822
none,1823
singl,1824
failur,1825
speci,1826
restrict,1827
disincent,1828
largecapac,1829
temporarili,1830
immedi,1831
nanci,1832
foster,1833
32102,1834
health,1835
human,1836
food,1837
drug,1838
101,1839
ado8,1840
ab68,1841
dietari,1842
1995,1843
mandatori,1844
nutrit,1845
nutrient,1846
cosmet,1847
vitamin,1848
miner,1849
herb,1850
substanc,1851
ds,1852
educ,1853
fda,1854
laina,1855
bush,1856
center,1857
safeti,1858
200,1859
sw,1860
20204,1861
sign,1862
add,1863
60366,1864
2066,1865
convent,1866
moratorium,1867
33700,1868
elsewher,1869
343,1870
hardship,1871
entitl,1872
33715,1873
33731,1874
gave,1875
6month,1876
2000,1877
letter,1878
onethird,1879
advocaci,1880
care,1881
societi,1882
univers,1883
distributor,1884
retail,1885
redesign,1886
logist,1887
print,1888
packag,1889
insignific,1890
inventori,1891
85,1892
18month,1893
profit,1894
explain,1895
upcom,1896
pharmacopoeia,1897
better,1898
spent,1899
supplier,1900
rush,1901
said,1902
deadlin,1903
difficult,1904
stress,1905
2070,1906
higher,1907
shown,1908
12month,1909
compar,1910
born,1911
pressur,1912
eas,1913
enjoy,1914
relabel,1915
advanc,1916
safe,1917
33690,1918
anprm,1919
12291,1920
altern,1921
possibl,1922
25000,1923
5000,1924
herbal,1925
test,1926
amino,1927
acid,1928
recogniz,1929
unaffect,1930
convinc,1931
exactli,1932
rang,1933
150,1934
500,1935
dunn,1936
yellow,1937
page,1938
privat,1939
privatelyheld,1940
confirm,1941
admit,1942
perfect,1943
inadequ,1944
inclus,1945
inflat,1946
arriv,1947
1000,1948
creation,1949
proofread,1950
retrain,1951
120,1952
2500,1953
factor,1954
complic,1955
model,1956
research,1957
triangl,1958
institut,1959
rti,1960
twice,1961
incur,1962
850,1963
pattern,1964
acknowledg,1965
underestim,1966
detail,1967
alter,1968
130000,1969
250000,1970
studi,1971
lower,1972
1year,1973
65000,1974
50000,1975
94000,1976
assay,1977
588,1978
undergo,1979
20000,1980
analyt,1981
next,1982
800,1983
desktop,1984
linotron,1985
600,1986
plate,1987
750,1988
comprehens,1989
plu,1990
ingredi,1991
necessit,1992
redistribut,1993
15000,1994
75000,1995
increment,1996
costli,1997
lengthier,1998
discard,1999
325000,2000
200000,2001
noncompli,2002
30000,2003
preliminari,2004
finish,2005
73,2006
whi,2007
catalog,2008
literatur,2009
advertis,2010
40000,2011
structurefunct,2012
accept,2013
event,2014
unwil,2015
older,2016
destroy,2017
unpersuad,2018
magnitud,2019
unsur,2020
express,2021
thousand,2022
job,2023
belief,2024
american,2025
inabl,2026
perhap,2027
lead,2028
distinguish,2029
vast,2030
advers,2031
fix,2032
spread,2033
catastroph,2034
worker,2035
relief,2036
mitig,2037
pain,2038
death,2039
unspecif,2040
vehicl,2041
wast,2042
money,2043
ineffect,2044
someon,2045
want,2046
too,2047
seriou,2048
ill,2049
harsh,2050
healthi,2051
scientif,2052
truth,2053
mislead,2054
greatli,2055
core,2056
assess,2057
maxim,2058
net,2059
environment,2060
analyz,2061
option,2062
100000,2063
0,2064
133,2065
84,2066
cumul,2067
seen,2068
monday,2069
2097,2070
project,2071
jr,2072
park,2073
nc,2074
kessler,2075
donna,2076
shalala,2077
31812,2078
ad96,2079
susan,2080
thompson,2081
st,2082
correct,2083
editori,2084
notabl,2085
distinct,2086
411,2087
pertain,2088
summar,2089
2079,2090
203,2091
rda,2092
academi,2093
7th,2094
edit,2095
1968,2096
terminolog,2097
intak,2098
400,2099
half,2100
few,2101
remaind,2102
rdi,2103
nonrdi,2104
particularli,2105
chlorid,2106
chromium,2107
fluorid,2108
manganes,2109
molybdenum,2110
selenium,2111
arsen,2112
boron,2113
silicon,2114
tin,2115
vanadium,2116
asterisk,2117
column,2118
footnot,2119
subsect,2120
panel,2121
drv,2122
inconveni,2123
overlook,2124
presenc,2125
persuad,2126
1989,2127
na,2128
k,2129
b6,2130
folat,2131
b12,2132
magnesium,2133
iron,2134
zinc,2135
known,2136
pantothen,2137
1973,2138
60390,2139
bottom,2140
tabl,2141
outgrowth,2142
expand,2143
trace,2144
element,2145
diet,2146
anim,2147
consensu,2148
strongli,2149
properti,2150
29487,2151
29493,2152
greater,2153
happen,2154
contribut,2155
misbrand,2156
fat,2157
solubl,2158
copper,2159
quantit,2160
weight,2161
placement,2162
adher,2163
sodium,2164
confus,2165
irrelev,2166
unimport,2167
33716,2168
simplifi,2169
seven,2170
calori,2171
satur,2172
cholesterol,2173
carbohydr,2174
fiber,2175
sugar,2176
protein,2177
calcium,2178
aid,2179
qualiti,2180
judg,2181
absent,2182
excus,2183
comprehend,2184
understand,2185
judgment,2186
virtual,2187
absolut,2188
acced,2189
instead,2190
alfalfa,2191
tablet,2192
binder,2193
technolog,2194
formul,2195
promin,2196
extract,2197
companion,2198
say,2199
sentenc,2200
word,2201
card,2202
tag,2203
affix,2204
booklet,2205
looseleaf,2206
envis,2207
sold,2208
bulk,2209
fair,2210
quickli,2211
readili,2212
observ,2213
2136,2214
tablespoon,2215
customarili,2216
eat,2217
occas,2218
capsul,2219
packet,2220
teaspoon,2221
principl,2222
topic,2223
think,2224
realli,2225
aris,2226
widespread,2227
familiar,2228
round,2229
divid,2230
redund,2231
liquid,2232
powder,2233
volum,2234
fluid,2235
ounc,2236
gram,2237
household,2238
reexamin,2239
head,2240
dual,2241
deviat,2242
readabl,2243
tent,2244
furthermor,2245
inasmuch,2246
enhanc,2247
chanc,2248
misunderstand,2249
noticeandcom,2250
near,2251
name,2252
buy,2253
parenthesi,2254
space,2255
multipl,2256
experiment,2257
adjac,2258
milligram,2259
led,2260
mistak,2261
task,2262
unord,2263
array,2264
disappear,2265
glucon,2266
similarli,2267
pyridoxin,2268
salt,2269
hydrochlorid,2270
biotin,2271
microgram,2272
phosphoru,2273
μ,2274
sensit,2275
monosodium,2276
glutam,2277
msg,2278
reiter,2279
accommod,2280
hydrolyz,2281
parenthet,2282
zero,2283
potassium,2284
dietet,2285
trivial,2286
physiolog,2287
misl,2288
unawar,2289
overag,2290
shelf,2291
life,2292
shelflif,2293
inadvert,2294
decim,2295
electrolyt,2296
unlik,2297
fabric,2298
categor,2299
lowest,2300
tenth,2301
9th,2302
10th,2303
sequenc,2304
sampl,2305
thiamin,2306
riboflavin,2307
niacin,2308
iodin,2309
omit,2310
alphabet,2311
fatsolubl,2312
water,2313
watersolubl,2314
usual,2315
voluntarili,2316
preced,2317
compart,2318
meal,2319
insert,2320
children,2321
age,2322
adult,2323
beta,2324
scientist,2325
retinol,2326
peopl,2327
safer,2328
dose,2329
risk,2330
cancer,2331
heart,2332
diseas,2333
cataract,2334
29476,2335
compon,2336
highlight,2337
press,2338
quantifi,2339
iu,2340
synonym,2341
b3,2342
alpha,2343
tocopherol,2344
alphatocopherol,2345
unrestrict,2346
tool,2347
differenti,2348
multivitamin,2349
profil,2350
credibl,2351
repeat,2352
chemic,2353
truli,2354
guid,2355
recept,2356
expediti,2357
promptli,2358
imper,2359
liver,2360
kelp,2361
inappropri,2362
emphasi,2363
prerequisit,2364
detract,2365
unnecessarili,2366
strengthen,2367
survey,2368
lactos,2369
filler,2370
artifici,2371
