term_id,doc_id,term_frequency,df
1402,"{'FR940104-0-00042': 2, 'FR940104-0-00066': 1, 'FR940128-2-00070': 2, 'FR940405-1-00114': 1, 'FR940405-1-00122': 1, 'FR940405-1-00130': 1, 'FR940810-0-00120': 1, 'FR940810-2-00121': 2, 'FR941006-1-00051': 1, 'FR941006-1-00054': 1, 'FR941206-1-00134': 5}",18,11
1403,"{'FR940104-0-00042': 1, 'FR940405-1-00096': 2, 'FR940405-1-00097': 1, 'FR940405-1-00098': 1, 'FR940405-1-00118': 1, 'FR940405-1-00119': 3, 'FR940405-1-00121': 1, 'FR940405-1-00124': 1, 'FR940405-1-00128': 1, 'FR940405-1-00130': 1, 'FR940617-2-00094': 1, 'FR941006-1-00051': 2, 'FR941006-1-00052': 1, 'FR941206-1-00090': 1, 'FR941206-1-00134': 8}",26,15
1404,"{'FR940104-0-00042': 1, 'FR940810-2-00046': 7}",8,2
1405,"{'FR940104-0-00042': 1, 'FR940104-0-00067': 1, 'FR940128-2-00180': 1, 'FR940810-0-00185': 1, 'FR940810-2-00029': 1, 'FR940810-2-00045': 1, 'FR941006-1-00053': 1, 'FR941206-1-00134': 4}",11,8
1406,"{'FR940104-0-00042': 1, 'FR940104-0-00074': 1, 'FR940104-0-00089': 1, 'FR940128-2-00071': 2, 'FR940405-1-00115': 1, 'FR941006-1-00052': 2, 'FR941206-1-00134': 5}",13,7
1407,"{'FR940104-0-00043': 2, 'FR940128-2-00059': 1, 'FR941206-1-00134': 4}",7,3
1408,"{'FR940104-0-00043': 4, 'FR940104-0-00045': 1, 'FR940104-0-00047': 1, 'FR940104-0-00050': 1, 'FR940104-2-00056': 2, 'FR940128-2-00021': 2, 'FR940128-2-00099': 2, 'FR940128-2-00107': 2, 'FR940128-2-00211': 1, 'FR940128-2-00245': 1, 'FR940617-2-00219': 1, 'FR940810-2-00016': 3, 'FR940810-2-00017': 10, 'FR940810-2-00064': 1}",32,14
1409,"{'FR940104-0-00043': 3, 'FR940810-2-00017': 9}",12,2
1410,"{'FR940104-0-00043': 3, 'FR940810-2-00017': 9}",12,2
1411,"{'FR940104-0-00043': 2, 'FR940810-2-00017': 7}",9,2
1412,"{'FR940104-0-00043': 3, 'FR940525-0-00058': 1, 'FR940810-2-00017': 7}",11,3
1413,{'FR940104-0-00043': 6},6,1
1414,"{'FR940104-0-00043': 1, 'FR940104-2-00020': 5, 'FR940104-2-00021': 3, 'FR940104-2-00022': 2, 'FR940128-2-00129': 1, 'FR940810-2-00022': 2, 'FR940810-2-00023': 3, 'FR940810-2-00024': 4, 'FR940810-2-00025': 1, 'FR940810-2-00026': 1, 'FR940810-2-00057': 1}",24,11
1415,"{'FR940104-0-00043': 1, 'FR940104-0-00047': 2, 'FR940104-2-00003': 2, 'FR940104-2-00004': 1, 'FR940104-2-00063': 1, 'FR940128-2-00058': 1, 'FR940128-2-00069': 1, 'FR940128-2-00071': 1, 'FR940128-2-00097': 2, 'FR940525-0-00015': 2, 'FR940617-2-00059': 2, 'FR940617-2-00077': 1, 'FR940617-2-00094': 1, 'FR940810-0-00137': 1, 'FR940810-2-00006': 1, 'FR940810-2-00031': 1, 'FR940810-2-00046': 1, 'FR940810-2-00083': 1}",23,18
1416,"{'FR940104-0-00043': 1, 'FR940104-0-00048': 1, 'FR940104-2-00014': 1, 'FR940104-2-00026': 1, 'FR940128-2-00037': 6, 'FR940128-2-00041': 13, 'FR940128-2-00054': 1, 'FR940128-2-00162': 2, 'FR940810-2-00051': 1, 'FR940810-2-00057': 1, 'FR941006-1-00029': 1, 'FR941006-1-00030': 1, 'FR941006-1-00037': 2, 'FR941006-1-00047': 1}",33,14
1417,"{'FR940104-0-00043': 1, 'FR940104-0-00053': 1, 'FR940104-0-00060': 1, 'FR940128-2-00211': 1, 'FR940525-0-00070': 2, 'FR940810-0-00333': 1, 'FR941206-1-00013': 1, 'FR941206-1-00118': 1}",9,8
1418,"{'FR940104-0-00043': 1, 'FR940810-2-00039': 1, 'FR940810-2-00046': 1, 'FR941206-1-00134': 8}",11,4
1419,"{'FR940104-0-00043': 2, 'FR940128-2-00049': 1, 'FR941206-1-00134': 25}",28,3
1420,"{'FR940104-0-00043': 1, 'FR940104-2-00005': 1, 'FR940128-2-00058': 1, 'FR940128-2-00100': 2, 'FR940128-2-00143': 1, 'FR940128-2-00169': 1, 'FR940617-2-00059': 3, 'FR940617-2-00077': 1, 'FR940617-2-00079': 1, 'FR940617-2-00224': 1, 'FR940617-2-00227': 1, 'FR940810-2-00006': 1, 'FR940810-2-00031': 1, 'FR940810-2-00041': 1}",17,14
1421,"{'FR940104-0-00043': 1, 'FR940525-0-00060': 1, 'FR940810-2-00036': 1, 'FR940810-2-00039': 4}",7,4
1422,"{'FR940104-0-00043': 1, 'FR940128-2-00064': 1, 'FR940810-2-00037': 1, 'FR940810-2-00043': 1, 'FR940810-2-00046': 1, 'FR941206-1-00134': 1}",6,6
1423,"{'FR940104-0-00043': 1, 'FR940104-0-00071': 1, 'FR940810-0-00009': 1, 'FR940810-2-00038': 1, 'FR940810-2-00046': 1, 'FR940810-2-00047': 1}",6,6
1424,"{'FR940104-0-00043': 2, 'FR940104-0-00066': 1, 'FR940128-2-00025': 1, 'FR940128-2-00028': 1, 'FR940128-2-00180': 1, 'FR940128-2-00213': 1, 'FR940303-1-00017': 1, 'FR940405-1-00020': 1, 'FR940405-1-00123': 1, 'FR940405-1-00124': 1, 'FR940525-0-00016': 1, 'FR940617-2-00004': 1, 'FR940617-2-00035': 1, 'FR940617-2-00171': 1, 'FR940810-0-00020': 1, 'FR940810-0-00031': 1, 'FR940810-0-00138': 1, 'FR941006-1-00059': 1, 'FR941006-1-00063': 1, 'FR941206-1-00073': 1, 'FR941206-1-00089': 1, 'FR941206-1-00115': 1}",23,22
1425,"{'FR940104-0-00043': 1, 'FR940104-0-00097': 1, 'FR940810-0-00212': 1, 'FR940810-0-00218': 3, 'FR940810-0-00273': 1, 'FR940810-0-00279': 3, 'FR940810-0-00319': 1, 'FR940810-0-00326': 3, 'FR940810-2-00085': 1}",15,9
1426,"{'FR940104-0-00043': 4, 'FR940128-2-00095': 1, 'FR940810-2-00037': 1, 'FR941206-1-00038': 1}",7,4
1427,"{'FR940104-0-00044': 2, 'FR940104-0-00047': 1, 'FR940104-2-00010': 1, 'FR940128-2-00061': 1, 'FR940525-0-00069': 5, 'FR940525-0-00070': 1, 'FR940810-0-00025': 2}",13,7
1428,"{'FR940104-0-00044': 1, 'FR940104-0-00049': 1, 'FR940128-2-00041': 3, 'FR940128-2-00167': 1, 'FR940128-2-00223': 1, 'FR940405-1-00033': 1, 'FR940525-0-00057': 1, 'FR940617-2-00021': 1, 'FR940617-2-00030': 1, 'FR940810-2-00009': 2, 'FR940810-2-00010': 2, 'FR941006-1-00021': 1, 'FR941006-1-00037': 1, 'FR941006-1-00049': 1, 'FR941006-1-00081': 1, 'FR941206-1-00134': 1}",20,16
1429,"{'FR940104-0-00044': 1, 'FR940128-2-00154': 2, 'FR940525-0-00032': 2, 'FR940525-0-00034': 2, 'FR940525-0-00035': 2, 'FR940525-0-00036': 1, 'FR940617-2-00033': 1, 'FR940617-2-00195': 1, 'FR940810-2-00009': 2, 'FR940810-2-00010': 1, 'FR941206-1-00134': 2}",17,11
1430,"{'FR940104-0-00044': 1, 'FR940104-0-00045': 1, 'FR940104-0-00046': 1, 'FR940104-0-00047': 1, 'FR940104-0-00050': 1, 'FR940128-2-00047': 1, 'FR940128-2-00048': 1, 'FR940128-2-00216': 1, 'FR940617-2-00008': 1, 'FR940617-2-00051': 1, 'FR940617-2-00084': 1, 'FR940617-2-00094': 1, 'FR940617-2-00144': 1, 'FR940617-2-00243': 1}",14,14
1431,"{'FR940104-0-00044': 1, 'FR940104-0-00045': 1, 'FR940104-2-00012': 1, 'FR940128-2-00035': 1, 'FR940128-2-00036': 1, 'FR940617-2-00042': 1, 'FR940617-2-00043': 2, 'FR940810-2-00018': 2}",10,8
1432,"{'FR940104-0-00044': 1, 'FR940104-0-00045': 1, 'FR940104-2-00012': 1, 'FR940128-2-00035': 1, 'FR940128-2-00036': 1, 'FR940617-2-00042': 1, 'FR940617-2-00043': 2, 'FR940810-2-00018': 2}",10,8
1433,"{'FR940104-0-00044': 1, 'FR940104-0-00048': 4, 'FR940104-0-00049': 2}",7,3
1434,"{'FR940104-0-00044': 1, 'FR940104-0-00047': 1, 'FR940104-0-00048': 4, 'FR940104-0-00049': 5}",11,4
1435,"{'FR940104-0-00044': 1, 'FR940405-1-00013': 1, 'FR940617-2-00004': 6, 'FR940617-2-00005': 6, 'FR940617-2-00095': 1}",15,5
1436,"{'FR940104-0-00044': 1, 'FR940128-2-00049': 1, 'FR940405-1-00103': 1, 'FR940617-2-00160': 1, 'FR940810-0-00185': 1, 'FR940810-2-00023': 1, 'FR940810-2-00024': 1, 'FR940810-2-00025': 1, 'FR940810-2-00026': 3, 'FR941006-1-00054': 1}",12,10
1437,"{'FR940104-0-00045': 1, 'FR940104-0-00047': 1, 'FR940104-0-00049': 1, 'FR940104-2-00020': 3, 'FR940104-2-00021': 3, 'FR940104-2-00034': 1, 'FR940810-2-00013': 1, 'FR940810-2-00022': 1, 'FR940810-2-00023': 2, 'FR940810-2-00024': 1, 'FR940810-2-00025': 1, 'FR940810-2-00026': 1}",17,12
1438,"{'FR940104-0-00045': 1, 'FR940104-2-00022': 1, 'FR940128-2-00067': 1, 'FR940128-2-00070': 1, 'FR940525-0-00058': 1, 'FR940617-2-00005': 1, 'FR940810-0-00185': 1, 'FR940810-2-00022': 2, 'FR940810-2-00025': 2, 'FR940810-2-00027': 13, 'FR941006-1-00139': 1}",25,11
1439,"{'FR940104-0-00045': 2, 'FR940104-0-00047': 2, 'FR940104-0-00048': 1, 'FR940104-0-00050': 1}",6,4
1440,"{'FR940104-0-00045': 2, 'FR940104-0-00046': 6}",8,2
1441,"{'FR940104-0-00046': 1, 'FR940128-2-00243': 4, 'FR940128-2-00245': 2}",7,3
1442,"{'FR940104-0-00046': 2, 'FR940104-0-00048': 2, 'FR940104-0-00049': 2}",6,3
1443,"{'FR940104-0-00046': 1, 'FR940405-1-00013': 1, 'FR940617-2-00030': 1, 'FR940617-2-00065': 2, 'FR940810-0-00052': 1, 'FR940810-0-00053': 1, 'FR940810-0-00086': 1, 'FR940810-0-00113': 1, 'FR940810-0-00134': 1, 'FR940810-0-00142': 1, 'FR940810-0-00144': 1, 'FR940810-0-00159': 1, 'FR940810-0-00166': 1, 'FR940810-2-00039': 1}",15,14
1444,"{'FR940104-0-00046': 1, 'FR940617-2-00065': 2, 'FR940810-0-00052': 1, 'FR940810-0-00086': 1, 'FR940810-0-00113': 1, 'FR940810-0-00142': 1, 'FR940810-0-00159': 1, 'FR940810-0-00166': 1, 'FR940810-2-00039': 1}",10,9
1445,"{'FR940104-0-00046': 1, 'FR940617-2-00065': 2, 'FR940810-0-00052': 1, 'FR940810-0-00086': 1, 'FR940810-0-00113': 1, 'FR940810-0-00142': 1, 'FR940810-0-00159': 1, 'FR940810-0-00166': 1, 'FR940810-2-00039': 1}",10,9
1446,"{'FR940104-0-00046': 1, 'FR940104-0-00077': 3, 'FR940104-2-00096': 1, 'FR940617-2-00116': 1, 'FR940617-2-00197': 1, 'FR940617-2-00210': 1}",8,6
1447,"{'FR940104-0-00046': 1, 'FR940128-2-00209': 1, 'FR940128-2-00211': 1, 'FR940617-2-00067': 1, 'FR940617-2-00184': 1, 'FR941206-1-00134': 1}",6,6
1448,"{'FR940104-0-00046': 1, 'FR940128-2-00213': 4, 'FR940810-2-00036': 1, 'FR940810-2-00042': 1, 'FR941206-1-00134': 3}",10,5
1449,"{'FR940104-0-00046': 2, 'FR940303-1-00046': 1, 'FR940303-1-00053': 1, 'FR940525-0-00055': 1, 'FR941206-1-00018': 1, 'FR941206-1-00134': 1}",7,6
1450,"{'FR940104-0-00046': 2, 'FR940104-0-00050': 3, 'FR940104-2-00007': 1, 'FR940104-2-00013': 1, 'FR940128-2-00026': 1, 'FR940128-2-00027': 1, 'FR940128-2-00100': 1, 'FR940128-2-00101': 2, 'FR940128-2-00122': 1, 'FR940128-2-00231': 1, 'FR940617-2-00060': 1, 'FR940617-2-00123': 1, 'FR940617-2-00220': 1, 'FR940617-2-00228': 1, 'FR940617-2-00232': 1, 'FR940617-2-00245': 1, 'FR940810-0-00003': 1, 'FR940810-0-00020': 1, 'FR940810-0-00026': 1, 'FR940810-0-00052': 1, 'FR940810-0-00103': 1, 'FR940810-2-00036': 1, 'FR940810-2-00037': 1, 'FR940810-2-00038': 3, 'FR940810-2-00046': 1, 'FR940810-2-00072': 1, 'FR940810-2-00083': 1, 'FR940810-2-00147': 2, 'FR941206-1-00126': 2, 'FR941206-1-00134': 2, 'FR941206-1-00141': 1, 'FR941206-1-00142': 1}",41,32
1451,"{'FR940104-0-00046': 1, 'FR940617-2-00070': 1, 'FR940617-2-00073': 2, 'FR940617-2-00075': 1, 'FR940617-2-00077': 1}",6,5
1452,"{'FR940104-0-00046': 1, 'FR940617-2-00070': 1, 'FR940617-2-00073': 2, 'FR940617-2-00075': 1, 'FR940617-2-00077': 1}",6,5
1453,"{'FR940104-0-00046': 1, 'FR940104-0-00049': 1, 'FR940405-1-00106': 1, 'FR941206-1-00048': 4, 'FR941206-1-00049': 3, 'FR941206-1-00053': 2, 'FR941206-1-00054': 2, 'FR941206-1-00056': 7, 'FR941206-1-00059': 1, 'FR941206-1-00065': 2, 'FR941206-1-00068': 1, 'FR941206-1-00072': 2, 'FR941206-1-00079': 1, 'FR941206-1-00080': 2, 'FR941206-1-00081': 2, 'FR941206-1-00082': 1, 'FR941206-1-00098': 1, 'FR941206-1-00099': 1, 'FR941206-1-00106': 1, 'FR941206-1-00112': 1, 'FR941206-1-00134': 2}",39,21
1454,"{'FR940104-0-00047': 1, 'FR940617-2-00089': 1, 'FR940810-0-00033': 2, 'FR940810-2-00023': 14, 'FR940810-2-00027': 3, 'FR940810-2-00046': 1, 'FR940810-2-00136': 1, 'FR941206-1-00043': 1}",24,8
1455,"{'FR940104-0-00047': 1, 'FR940104-2-00025': 1, 'FR940128-2-00151': 2, 'FR940128-2-00152': 5, 'FR940525-0-00046': 4, 'FR940525-0-00048': 1, 'FR940617-2-00095': 1}",15,7
1456,"{'FR940104-0-00047': 5, 'FR940104-0-00049': 1}",6,2
1457,"{'FR940104-0-00047': 1, 'FR940128-2-00181': 2, 'FR940525-0-00044': 1, 'FR941006-1-00139': 1, 'FR941206-1-00134': 1}",6,5
1458,"{'FR940104-0-00047': 1, 'FR940405-1-00081': 1, 'FR940525-0-00016': 1, 'FR940810-0-00007': 1, 'FR940810-0-00177': 1, 'FR941206-1-00087': 1, 'FR941206-1-00090': 1, 'FR941206-1-00128': 1}",8,8
1459,"{'FR940104-0-00047': 1, 'FR940405-1-00104': 1, 'FR940810-0-00157': 1, 'FR940810-0-00160': 1, 'FR940810-0-00165': 1, 'FR940810-0-00177': 1, 'FR940810-0-00183': 1, 'FR941006-1-00099': 1}",8,8
1460,"{'FR940104-0-00047': 1, 'FR940617-2-00213': 4, 'FR940617-2-00216': 1, 'FR940810-2-00032': 1}",7,4
1461,"{'FR940104-0-00047': 2, 'FR940104-2-00020': 2, 'FR940104-2-00021': 2, 'FR940104-2-00022': 1, 'FR940810-2-00022': 1, 'FR940810-2-00023': 3, 'FR940810-2-00025': 1, 'FR940810-2-00044': 1, 'FR941006-1-00057': 1, 'FR941006-1-00062': 2}",16,10
1462,"{'FR940104-0-00047': 1, 'FR940104-2-00021': 2, 'FR940810-2-00023': 2, 'FR940810-2-00024': 3, 'FR940810-2-00025': 3, 'FR940810-2-00026': 1, 'FR940810-2-00027': 1, 'FR940810-2-00112': 1}",14,8
1463,"{'FR940104-0-00047': 1, 'FR940810-0-00198': 2, 'FR940810-0-00199': 1, 'FR940810-0-00241': 2, 'FR940810-0-00301': 2}",8,5
1464,"{'FR940104-0-00047': 1, 'FR940128-2-00037': 1, 'FR940128-2-00212': 1, 'FR940617-2-00211': 1, 'FR941206-1-00134': 3}",7,5
1465,"{'FR940104-0-00047': 1, 'FR940104-2-00025': 1, 'FR940128-2-00180': 5, 'FR940405-1-00115': 1, 'FR940617-2-00213': 1, 'FR940810-0-00060': 1, 'FR940810-0-00079': 1, 'FR940810-0-00081': 1, 'FR940810-0-00082': 1, 'FR940810-0-00102': 1, 'FR940810-0-00116': 1, 'FR940810-0-00143': 2, 'FR940810-0-00145': 2, 'FR940810-0-00158': 2, 'FR940810-0-00159': 3, 'FR940810-0-00160': 1, 'FR940810-0-00163': 2, 'FR940810-0-00164': 1, 'FR940810-0-00165': 1, 'FR940810-0-00166': 1, 'FR940810-0-00194': 1, 'FR940810-0-00221': 1, 'FR940810-0-00296': 2}",34,23
1466,"{'FR940104-0-00048': 1, 'FR940525-0-00067': 1, 'FR940525-0-00070': 1, 'FR940617-2-00078': 2, 'FR940617-2-00144': 1, 'FR940810-0-00029': 2, 'FR940810-2-00080': 1, 'FR940810-2-00084': 1, 'FR941206-1-00134': 2}",12,9
1467,"{'FR940104-0-00048': 1, 'FR940525-0-00058': 1, 'FR940617-2-00239': 2, 'FR940810-0-00033': 3, 'FR941206-1-00134': 1}",8,5
1468,"{'FR940104-0-00048': 1, 'FR940525-0-00058': 1, 'FR940617-2-00239': 2, 'FR940810-0-00033': 3, 'FR941206-1-00134': 1}",8,5
1469,"{'FR940104-0-00048': 1, 'FR940405-1-00114': 1, 'FR940405-1-00118': 3, 'FR940405-1-00122': 1, 'FR940405-1-00125': 1, 'FR940405-1-00130': 1, 'FR940810-0-00059': 1, 'FR940810-0-00107': 1, 'FR940810-0-00109': 2, 'FR940810-0-00110': 1, 'FR940810-0-00111': 1, 'FR940810-0-00112': 1, 'FR940810-0-00121': 1, 'FR940810-0-00131': 2, 'FR940810-0-00132': 1, 'FR940810-0-00147': 4, 'FR940810-0-00152': 2, 'FR940810-0-00159': 1, 'FR940810-0-00180': 1}",27,19
1470,"{'FR940104-0-00048': 1, 'FR940104-2-00014': 1, 'FR940617-2-00222': 1, 'FR940810-0-00019': 1, 'FR940810-2-00002': 1, 'FR940810-2-00003': 1, 'FR940810-2-00004': 1, 'FR940810-2-00005': 2, 'FR940810-2-00053': 1, 'FR940810-2-00056': 1, 'FR940810-2-00058': 1, 'FR940810-2-00069': 1, 'FR940810-2-00090': 1, 'FR940810-2-00094': 1}",15,14
1471,"{'FR940104-0-00048': 2, 'FR940104-2-00005': 2, 'FR940104-2-00007': 2, 'FR940104-2-00024': 1, 'FR940104-2-00030': 1, 'FR940104-2-00101': 1, 'FR940128-2-00071': 1, 'FR940128-2-00097': 1, 'FR940617-2-00006': 1, 'FR940617-2-00094': 1, 'FR940810-2-00036': 1, 'FR940810-2-00044': 1}",15,12
1472,"{'FR940104-0-00048': 2, 'FR940104-2-00005': 1, 'FR940104-2-00007': 1, 'FR940104-2-00093': 1, 'FR940104-2-00094': 1, 'FR940128-2-00129': 1, 'FR940128-2-00148': 1, 'FR940617-2-00116': 2, 'FR940617-2-00216': 2, 'FR940617-2-00222': 1, 'FR940617-2-00228': 2, 'FR940617-2-00229': 1, 'FR940617-2-00236': 1, 'FR940810-2-00037': 1, 'FR940810-2-00038': 1, 'FR940810-2-00057': 12, 'FR940810-2-00100': 1}",32,17
1473,"{'FR940104-0-00048': 1, 'FR940104-2-00017': 1, 'FR940104-2-00093': 1, 'FR940128-2-00102': 1, 'FR940617-2-00220': 2, 'FR940617-2-00232': 1, 'FR940617-2-00234': 1, 'FR941206-1-00134': 1}",9,8
1474,"{'FR940104-0-00048': 1, 'FR940104-2-00049': 1, 'FR940405-1-00011': 1, 'FR940525-0-00032': 2, 'FR940617-2-00116': 2, 'FR940810-2-00032': 1}",8,6
1475,"{'FR940104-0-00048': 1, 'FR940128-2-00179': 2, 'FR940128-2-00180': 1, 'FR940405-1-00114': 1, 'FR940405-1-00116': 1, 'FR940405-1-00117': 1, 'FR941206-1-00134': 1}",8,7
1476,"{'FR940104-0-00048': 1, 'FR940128-2-00010': 1, 'FR940128-2-00040': 1, 'FR940128-2-00154': 2, 'FR940128-2-00244': 1, 'FR940128-2-00245': 1, 'FR940303-1-00029': 1, 'FR940617-2-00194': 1, 'FR940810-0-00032': 1, 'FR940810-2-00004': 2, 'FR940810-2-00005': 5, 'FR940810-2-00010': 1, 'FR940810-2-00013': 1}",19,13
1477,"{'FR940104-0-00048': 1, 'FR940104-0-00049': 2, 'FR940128-2-00095': 2, 'FR940525-0-00015': 1, 'FR940617-2-00094': 1, 'FR940810-0-00181': 1, 'FR940810-0-00182': 1}",9,7
1478,"{'FR940104-0-00048': 1, 'FR940104-2-00021': 1, 'FR940104-2-00022': 1, 'FR940405-1-00037': 1, 'FR940810-2-00023': 2, 'FR940810-2-00024': 1, 'FR940810-2-00025': 1}",8,7
1479,"{'FR940104-0-00048': 1, 'FR940128-2-00106': 2, 'FR940128-2-00167': 3, 'FR940128-2-00202': 1, 'FR940303-1-00043': 1, 'FR940303-1-00051': 1, 'FR940303-1-00061': 1, 'FR940405-1-00025': 2, 'FR940617-2-00052': 2, 'FR940810-2-00135': 1, 'FR941206-1-00044': 1, 'FR941206-1-00088': 1}",17,12
1480,"{'FR940104-0-00048': 1, 'FR940128-2-00165': 1, 'FR940128-2-00171': 1, 'FR940525-0-00063': 2, 'FR940810-2-00015': 1}",6,5
1481,"{'FR940104-0-00048': 1, 'FR940104-0-00049': 2, 'FR940104-0-00070': 1, 'FR940104-0-00071': 1, 'FR940104-0-00072': 1, 'FR940104-2-00096': 1, 'FR940128-2-00101': 1, 'FR940617-2-00217': 1, 'FR941206-1-00038': 1, 'FR941206-1-00134': 1}",11,10
1482,"{'FR940104-0-00049': 1, 'FR940617-2-00159': 2, 'FR940617-2-00160': 1, 'FR940617-2-00170': 1, 'FR940810-0-00102': 1, 'FR940810-0-00110': 1, 'FR940810-2-00026': 1, 'FR940810-2-00027': 1, 'FR941006-1-00016': 1}",10,9
1483,"{'FR940104-0-00049': 1, 'FR940617-2-00170': 1, 'FR940810-0-00110': 1, 'FR940810-2-00026': 1, 'FR940810-2-00027': 1, 'FR941006-1-00016': 1}",6,6
1484,"{'FR940104-0-00049': 1, 'FR940617-2-00170': 1, 'FR940810-0-00110': 1, 'FR940810-2-00026': 1, 'FR940810-2-00027': 1, 'FR941006-1-00016': 1}",6,6
1485,"{'FR940104-0-00049': 1, 'FR940104-2-00079': 1, 'FR940128-2-00234': 1, 'FR940128-2-00235': 1, 'FR940128-2-00236': 1, 'FR940405-1-00076': 1, 'FR940405-1-00101': 1, 'FR940617-2-00048': 2, 'FR940617-2-00086': 2, 'FR940810-0-00160': 1, 'FR940810-2-00140': 1, 'FR940810-2-00141': 1, 'FR940810-2-00142': 1, 'FR941006-1-00065': 3, 'FR941006-1-00113': 1}",19,15
1486,"{'FR940104-0-00049': 1, 'FR940128-2-00166': 1, 'FR941006-1-00062': 1, 'FR941206-1-00134': 3}",6,4
1487,"{'FR940104-0-00049': 1, 'FR940617-2-00005': 1, 'FR940810-0-00184': 1, 'FR940810-2-00024': 2, 'FR940810-2-00025': 1, 'FR940810-2-00026': 4, 'FR940810-2-00057': 1, 'FR940810-2-00110': 1}",12,8
1488,"{'FR940104-0-00049': 1, 'FR940128-2-00126': 1, 'FR940525-0-00058': 1, 'FR940525-0-00059': 1, 'FR940617-2-00129': 1, 'FR940617-2-00131': 1, 'FR940617-2-00132': 1}",7,7
1489,"{'FR940104-0-00049': 1, 'FR940104-0-00062': 1, 'FR940128-2-00059': 5, 'FR940128-2-00069': 1, 'FR940128-2-00097': 1, 'FR940128-2-00169': 1, 'FR940525-0-00071': 1, 'FR940810-2-00029': 1, 'FR940810-2-00083': 1, 'FR941206-1-00089': 2, 'FR941206-1-00115': 1, 'FR941206-1-00134': 1}",17,12
1490,"{'FR940104-0-00050': 5, 'FR940128-2-00159': 1, 'FR940525-0-00059': 1, 'FR940810-2-00083': 4}",11,4
1491,"{'FR940104-0-00050': 1, 'FR940128-2-00061': 1, 'FR940617-2-00059': 1, 'FR940617-2-00088': 1, 'FR940810-0-00034': 1, 'FR940810-2-00037': 1, 'FR941206-1-00031': 1}",7,7
1492,"{'FR940104-0-00050': 1, 'FR940104-0-00079': 1, 'FR940104-2-00094': 5, 'FR940104-2-00097': 1, 'FR940128-2-00097': 2, 'FR940128-2-00159': 2, 'FR940128-2-00161': 1, 'FR940303-1-00032': 1, 'FR940617-2-00059': 1, 'FR940617-2-00116': 1, 'FR940617-2-00189': 1, 'FR940617-2-00214': 3, 'FR940617-2-00225': 2, 'FR940617-2-00227': 2, 'FR940617-2-00228': 4, 'FR940617-2-00229': 1, 'FR940617-2-00230': 2, 'FR940617-2-00232': 4, 'FR940617-2-00235': 4}",39,19
1493,"{'FR940104-0-00051': 1, 'FR940104-2-00012': 2, 'FR940525-0-00055': 1, 'FR940617-2-00042': 2, 'FR940617-2-00043': 2, 'FR940810-2-00018': 2}",10,6
1494,"{'FR940104-0-00052': 3, 'FR940104-0-00053': 3, 'FR940104-0-00054': 3, 'FR940104-0-00061': 4, 'FR940104-0-00062': 1, 'FR940104-0-00064': 2, 'FR940104-0-00066': 6, 'FR940104-0-00067': 2, 'FR940104-2-00005': 1, 'FR940104-2-00007': 1, 'FR940104-2-00062': 1, 'FR940104-2-00101': 1, 'FR940128-2-00063': 1, 'FR940128-2-00094': 2, 'FR940128-2-00095': 1, 'FR940128-2-00103': 2, 'FR940128-2-00243': 8, 'FR940128-2-00245': 5, 'FR940303-1-00027': 1, 'FR940525-0-00023': 4, 'FR940525-0-00024': 4, 'FR940525-0-00025': 5, 'FR940525-0-00026': 5, 'FR940525-0-00027': 5, 'FR940525-0-00028': 5, 'FR940525-0-00029': 4, 'FR940617-2-00006': 1, 'FR940617-2-00090': 3, 'FR940617-2-00091': 2, 'FR940617-2-00093': 1, 'FR940617-2-00095': 1, 'FR940617-2-00211': 1, 'FR940617-2-00212': 1, 'FR940810-0-00028': 1, 'FR940810-0-00032': 1, 'FR940810-0-00033': 1, 'FR940810-0-00034': 1, 'FR940810-0-00035': 2, 'FR940810-0-00079': 1, 'FR940810-0-00122': 1, 'FR940810-0-00128': 1, 'FR940810-0-00129': 1, 'FR940810-0-00227': 1, 'FR940810-0-00237': 2, 'FR940810-0-00288': 1, 'FR940810-0-00297': 2, 'FR940810-0-00301': 1, 'FR940810-2-00057': 3, 'FR941006-1-00022': 1, 'FR941006-1-00050': 1, 'FR941006-1-00051': 2, 'FR941006-1-00052': 1, 'FR941206-1-00032': 1, 'FR941206-1-00035': 1, 'FR941206-1-00036': 1, 'FR941206-1-00039': 1, 'FR941206-1-00040': 1, 'FR941206-1-00045': 3, 'FR941206-1-00074': 1, 'FR941206-1-00086': 1, 'FR941206-1-00090': 1, 'FR941206-1-00091': 1, 'FR941206-1-00096': 1, 'FR941206-1-00104': 1, 'FR941206-1-00108': 1, 'FR941206-1-00113': 1, 'FR941206-1-00115': 1, 'FR941206-1-00134': 116}",248,68
1495,"{'FR940104-0-00052': 2, 'FR941206-1-00134': 6}",8,2
1496,"{'FR940104-0-00052': 5, 'FR940104-0-00053': 6, 'FR940104-0-00055': 5, 'FR940104-0-00061': 1, 'FR940104-0-00062': 2, 'FR940104-0-00064': 3, 'FR940104-0-00066': 2, 'FR940104-0-00067': 1, 'FR940128-2-00066': 1, 'FR940128-2-00070': 4, 'FR940617-2-00086': 3, 'FR940810-0-00029': 4, 'FR940810-0-00314': 2, 'FR940810-2-00039': 5, 'FR940810-2-00043': 2, 'FR940810-2-00044': 1, 'FR941206-1-00078': 1, 'FR941206-1-00099': 1, 'FR941206-1-00134': 36}",85,19
